budget,genres,id,release_date,revenue,title,year,movie_id,total_personas_efectos
170000000,"['Action', 'Science Fiction', 'Adventure']",118340,2014-07-30,773328629,Guardians of the Galaxy,2014,118340,20
165000000,"['Adventure', 'Drama', 'Science Fiction']",157336,2014-11-05,675120017,Interstellar,2014,157336,11
160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",27205,2010-07-14,825532764,Inception,2010,27205,0
15000000,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",315011,2016-07-29,77000000,Shin Godzilla,2016,315011,4
160000000,"['Action', 'Science Fiction', 'Adventure']",49538,2011-05-24,353624124,X-Men: First Class,2011,49538,4
160000000,"['Action', 'Adventure', 'Science Fiction']",131634,2015-11-18,653428261,The Hunger Games: Mockingjay - Part 2,2015,131634,11
155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",87101,2015-06-23,440603537,Terminator Genisys,2015,87101,24
150000000,"['Adventure', 'Science Fiction', 'Action']",1858,2007-06-27,709709780,Transformers,2007,1858,2
150000000,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",6479,2007-12-14,585349010,I Am Legend,2007,6479,1
150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2080,2009-04-28,373062864,X-Men Origins: Wolverine,2009,2080,1
150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",605,2003-11-05,424988211,The Matrix Revolutions,2003,605,2
150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",604,2003-05-15,738599701,The Matrix Reloaded,2003,604,1
150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",76341,2015-05-13,378858340,Mad Max: Fury Road,2015,76341,4
140000000,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",95,1998-07-01,553799566,Armageddon,1998,95,12
140000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",608,2002-07-03,441818803,Men in Black II,2002,608,10
150000000,"['Science Fiction', 'Action', 'Adventure']",13475,2009-05-06,385680446,Star Trek,2009,13475,0
130000000,"['Action', 'Mystery', 'Science Fiction']",13183,2009-03-05,185258983,Watchmen,2009,13183,0
137000000,"['Drama', 'Action', 'Science Fiction']",1927,2003-06-19,245360480,Hulk,2003,1927,12
130000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",72559,2013-03-26,371876278,G.I. Joe: Retaliation,2013,72559,0
137000000,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",2114,2001-07-02,85131830,Final Fantasy: The Spirits Within,2001,2114,5
140000000,"['Action', 'Adventure', 'Science Fiction']",1771,2011-07-22,370569774,Captain America: The First Avenger,2011,1771,19
150000000,"['Science Fiction', 'Action', 'Adventure']",1724,2008-06-12,163712074,The Incredible Hulk,2008,1724,3
130000000,"['Science Fiction', 'Action', 'Adventure']",102899,2015-07-14,519311965,Ant-Man,2015,102899,7
130000000,"['Adventure', 'Action', 'Science Fiction']",101299,2013-11-15,847423452,The Hunger Games: Catching Fire,2013,101299,4
135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",228161,2015-03-18,368871007,Home,2015,228161,6
132000000,"['Adventure', 'Thriller', 'Science Fiction']",74,2005-06-28,591739379,War of the Worlds,2005,74,11
130000000,"['Science Fiction', 'Action', 'Adventure']",82700,2013-05-30,243843127,After Earth,2013,82700,22
130000000,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",38055,2010-10-28,321887208,Megamind,2010,38055,1
125000000,"['Science Fiction', 'Adventure', 'Thriller']",131631,2014-11-18,752100229,The Hunger Games: Mockingjay - Part 1,2014,131631,19
110000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",36658,2003-04-24,407711549,X2,2003,36658,2
65000000,"['Action', 'Adventure', 'Science Fiction']",861,1990-06-01,261317921,Total Recall,1990,861,0
125000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",435,2004-05-26,544272402,The Day After Tomorrow,2004,435,35
130000000,"['Science Fiction', 'Adventure', 'Mystery']",70981,2012-05-30,403170142,Prometheus,2012,70981,7
115000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']",68724,2013-08-07,286140700,Elysium,2013,68724,14
105000000,"['Action', 'Science Fiction']",2789,2004-06-11,115772733,The Chronicles of Riddick,2004,2789,15
120000000,"['Action', 'Science Fiction']",97020,2014-01-30,242688965,RoboCop,2014,97020,1
120000000,"['Action', 'Family', 'Science Fiction']",7459,2008-05-09,93945766,Speed Racer,2008,7459,2
120000000,"['Action', 'Science Fiction', 'Adventure', 'Mystery']",75612,2013-04-10,286168572,Oblivion,2013,75612,0
113000000,"['Science Fiction', 'Adventure', 'Action']",1895,2005-05-17,850000000,Star Wars: Episode III - Revenge of the Sith,2005,1895,0
120000000,"['Adventure', 'Action', 'Science Fiction']",1894,2002-05-15,649398328,Star Wars: Episode II - Attack of the Clones,2002,1894,2
120000000,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",76170,2013-07-23,415440673,The Wolverine,2013,76170,5
115000000,"['Adventure', 'Action', 'Science Fiction']",1893,1999-05-19,924317558,Star Wars: Episode I - The Phantom Menace,1999,1893,1
125000000,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']",98566,2014-08-07,477200000,Teenage Mutant Ninja Turtles,2014,98566,31
105000000,"['Science Fiction', 'Thriller', 'Drama']",49047,2013-09-27,716392705,Gravity,2013,49047,19
120000000,"['Action', 'Adventure', 'Science Fiction']",166424,2015-08-05,167977596,Fantastic Four,2015,166424,16
110000000,"['Adventure', 'Science Fiction', 'Thriller']",262500,2015-03-18,295238201,Insurgent,2015,262500,2
110000000,"['Adventure', 'Science Fiction']",262504,2016-03-09,179246868,Allegiant,2016,262504,30
110000000,"['Action', 'Science Fiction', 'Drama']",39254,2011-09-28,299268508,Real Steel,2011,39254,1
110000000,"['Science Fiction', 'Action', 'Adventure']",80274,2013-10-23,125537191,Ender's Game,2013,80274,21
120000000,"['Action', 'Science Fiction']",2048,2004-07-15,347234916,"I, Robot",2004,2048,10
108000000,"['Drama', 'Adventure', 'Science Fiction']",286217,2015-09-30,630161890,The Martian,2015,286217,22
126000000,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",1635,2005-07-20,162949164,The Island,2005,1635,2
102000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",180,2002-06-20,358372926,Minority Report,2002,180,13
100000000,"['Thriller', 'Science Fiction', 'Action', 'Adventure']",869,2001-07-25,362211740,Planet of the Apes,2001,869,1
100000000,"['Action', 'Thriller', 'Science Fiction']",280,1991-07-01,520000000,Terminator 2: Judgment Day,1991,280,3
105000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",563,1997-11-06,121214377,Starship Troopers,1997,563,2
102000000,"['Drama', 'Science Fiction']",83542,2012-10-26,130482868,Cloud Atlas,2012,83542,23
140000000,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",9016,2002-11-26,109578115,Treasure Planet,2002,9016,5
100000000,"['Adventure', 'Comedy', 'Science Fiction']",18162,2009-06-05,68688831,Land of the Lost,2009,18162,0
100000000,"['Action', 'Comedy', 'Science Fiction']",11692,2002-08-15,7103973,The Adventures of Pluto Nash,2002,11692,0
90000000,"['Action', 'Comedy', 'Science Fiction']",9890,2004-06-10,102000000,The Stepford Wives,2004,9890,0
90000000,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",18,1997-05-07,263920180,The Fifth Element,1997,18,8
100000000,"['Thriller', 'Science Fiction', 'Drama', 'Mystery']",157353,2014-04-16,103039258,Transcendence,2014,157353,2
93000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",331,2001-07-18,368780809,Jurassic Park III,2001,331,7
93000000,"['Thriller', 'Action', 'Drama', 'Science Fiction']",61791,2011-08-03,482860185,Rise of the Planet of the Apes,2011,61791,19
90000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",607,1997-07-02,589390539,Men in Black,1997,607,9
120000000,"['Animation', 'Family', 'Adventure', 'Science Fiction']",10865,2001-06-02,186053725,Atlantis: The Lost Empire,2001,10865,9
88000000,"['Action', 'Comedy', 'Science Fiction']",257344,2015-07-16,243637091,Pixels,2015,257344,16
100000000,"['Drama', 'Science Fiction', 'Adventure']",644,2001-06-29,235926552,A.I. Artificial Intelligence,2001,644,10
90000000,"['Drama', 'Science Fiction', 'Mystery']",686,1997-07-11,171120329,Contact,1997,686,16
95000000,"['Action', 'Science Fiction', 'Thriller']",9383,2000-08-04,190213455,Hollow Man,2000,9383,0
68000000,"['Thriller', 'Action', 'Romance', 'Science Fiction', 'Adventure']",10003,1997-04-03,118063304,The Saint,1997,10003,0
90000000,['Science Fiction'],2067,2000-03-10,60874615,Mission to Mars,2000,2067,2
100000000,"['Comedy', 'Science Fiction']",2277,1999-12-17,93700000,Bicentennial Man,1999,2277,1
90000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']",10357,1997-04-25,0,Volcano,1997,10357,0
85000000,"['Adventure', 'Action', 'Science Fiction']",157350,2014-03-14,288747895,Divergent,2014,157350,4
85000000,"['Adventure', 'Fantasy', 'Drama', 'Comedy', 'Science Fiction', 'Family']",62764,2012-03-15,183018522,Mirror Mirror,2012,62764,3
60000000,"['Action', 'Thriller', 'Adventure', 'Science Fiction']",9341,2003-03-28,74208267,The Core,2003,9341,28
84000000,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",12107,2000-07-27,123307945,Nutty Professor II: The Klumps,2000,12107,0
50000000,"['Action', 'Science Fiction']",49049,2012-09-07,41037742,Dredd,2012,49049,11
85000000,"['Adventure', 'Fantasy', 'Science Fiction']",8247,2008-02-10,222231186,Jumper,2008,8247,4
85000000,"['Adventure', 'Fantasy', 'Science Fiction']",11253,2008-07-11,160388063,Hellboy II: The Golden Army,2008,11253,0
82000000,['Science Fiction'],8452,2000-11-17,96085477,The 6th Day,2000,8452,7
75000000,"['Science Fiction', 'Adventure', 'Fantasy']",70160,2012-03-12,691210692,The Hunger Games,2012,70160,8
75000000,"['Animation', 'Comedy', 'Family', 'Science Fiction']",9928,2005-03-10,260696994,Robots,2005,9928,4
80000000,"['Action', 'Crime', 'Science Fiction', 'Thriller']",754,1997-06-27,245676146,Face/Off,1997,754,0
80000000,"['Action', 'Thriller', 'Science Fiction']",20504,2010-01-14,157107755,The Book of Eli,2010,20504,9
80000000,"['Comedy', 'Family', 'Science Fiction']",9574,1997-11-26,177977226,Flubber,1997,9574,1
80000000,"['Drama', 'Science Fiction', 'Thriller']",10200,2008-12-10,233093859,The Day the Earth Stood Still,2008,10200,11
80000000,"['Adventure', 'Family', 'Science Fiction']",2157,1998-04-03,136159423,Lost in Space,1998,2157,9
80000000,"['Science Fiction', 'Adventure', 'Action']",2135,2002-03-04,123729176,The Time Machine,2002,2135,0
70000000,"['Comedy', 'Fantasy', 'Science Fiction']",75,1996-12-12,101371017,Mars Attacks!,1996,75,2
80000000,"['Action', 'Science Fiction', 'Thriller']",19959,2009-09-24,122444772,Surrogates,2009,19959,2
44000000,"['Action', 'Science Fiction', 'War']",5491,2000-05-10,21400000,Battlefield Earth,2000,5491,1
80000000,"['Action', 'Adventure', 'Science Fiction']",9562,2003-11-26,19480739,Timeline,2003,9562,6
80000000,"['Thriller', 'Action', 'Science Fiction']",8870,2000-11-10,33463969,Red Planet,2000,8870,8
80000000,"['Thriller', 'Science Fiction', 'Adventure', 'Action']",10077,2005-05-15,5989640,A Sound of Thunder,2005,10077,0
79000000,"['Adventure', 'Action', 'Science Fiction']",72545,2012-01-19,355692760,Journey 2: The Mysterious Island,2012,72545,18
80000000,"['Science Fiction', 'Thriller']",4858,2007-08-17,15071514,The Invasion,2007,4858,0
78000000,"['Fantasy', 'Action', 'Thriller', 'Science Fiction']",8698,2003-07-11,179265204,The League of Extraordinary Gentlemen,2003,8698,17
75000000,"['Action', 'Adventure', 'Science Fiction']",602,1996-06-25,816969268,Independence Day,1996,602,4
73000000,"['Adventure', 'Action', 'Science Fiction']",330,1997-05-23,229074524,The Lost World: Jurassic Park,1997,330,3
76000000,"['Drama', 'Action', 'Thriller', 'Science Fiction']",9693,2006-09-22,69959751,Children of Men,2006,9693,11
75000000,"['Adventure', 'Action', 'Science Fiction']",36657,2000-07-13,296339527,X-Men,2000,36657,1
75000000,"['Animation', 'Action', 'Science Fiction', 'Family', 'Adventure']",7450,2000-06-16,36754634,Titan A.E.,2000,7450,8
75000000,"['Action', 'War', 'Science Fiction']",9425,1998-10-23,14567883,Soldier,1998,9425,10
75000000,"['Science Fiction', 'Thriller', 'Drama']",9741,2000-11-13,248118121,Unbreakable,2000,9741,2
75000000,['Science Fiction'],10153,1998-02-13,13100000,Sphere,1998,10153,8
72000000,"['Drama', 'Thriller', 'Science Fiction', 'Mystery']",2675,2002-08-02,408247917,Signs,2002,2675,6
68000000,"['Drama', 'Mystery', 'Romance', 'Science Fiction', 'Thriller']",1903,2001-12-10,203388341,Vanilla Sky,2001,1903,0
70000000,"['Adventure', 'Science Fiction', 'Action']",395,2004-08-12,171183863,AVP: Alien vs. Predator,2004,395,16
70000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",200,1998-12-10,118000000,Star Trek: Insurrection,1998,200,0
70000000,"['Action', 'Science Fiction']",44943,2011-03-08,202466756,Battle: Los Angeles,2011,44943,11
70000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2756,1989-08-09,90000098,The Abyss,1989,2756,10
70000000,"['Mystery', 'Action', 'Thriller', 'Science Fiction', 'Adventure']",5137,2004-09-17,57958696,Sky Captain and the World of Tomorrow,2004,5137,12
68000000,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Science Fiction']",9824,1999-08-06,29762011,Mystery Men,1999,9824,0
66000000,"['Mystery', 'Science Fiction', 'Thriller']",846,1998-06-19,189198313,The X Files,1998,846,0
68000000,"['Drama', 'Horror', 'Science Fiction', 'Thriller']",6171,2003-03-21,75715436,Dreamcatcher,2003,6171,8
63000000,"['Action', 'Science Fiction']",603,1999-03-30,463517383,The Matrix,1999,603,3
65000000,"['Science Fiction', 'Action', 'Horror', 'Thriller', 'Adventure', 'Fantasy']",36648,2004-12-08,128905366,Blade: Trinity,2004,36648,12
65000000,"['Action', 'Horror', 'Science Fiction']",71679,2012-09-12,240159255,Resident Evil: Retribution,2012,71679,2
45000000,"['Action', 'Thriller', 'Science Fiction']",10483,2008-08-22,73762516,Death Race,2008,10483,4
65000000,"['Family', 'Fantasy', 'Science Fiction', 'Adventure']",6795,2005-11-06,64321501,Zathura: A Space Adventure,2005,6795,0
63000000,"['Comedy', 'Crime', 'Science Fiction']",818,2002-07-26,296655431,Austin Powers in Goldmember,2002,818,5
65000000,"['Animation', 'Action', 'Family', 'Science Fiction']",16577,2009-10-15,44091067,Astro Boy,2009,16577,1
63000000,"['Adventure', 'Science Fiction']",329,1993-06-11,920100000,Jurassic Park,1993,329,7
60000000,"['Action', 'Science Fiction', 'Thriller']",8914,1999-07-28,73648228,Deep Blue Sea,1999,8914,19
60000000,"['Drama', 'Thriller', 'Science Fiction']",39538,2011-09-08,137551594,Contagion,2011,39538,0
60000000,"['Thriller', 'Science Fiction']",8645,2008-06-11,163403799,The Happening,2008,8645,0
66000000,"['Fantasy', 'Action', 'Science Fiction']",1487,2004-04-02,99318987,Hellboy,2004,1487,10
60000000,"['Action', 'Adventure', 'Mystery', 'Science Fiction', 'Thriller']",9620,2003-12-25,96269812,Paycheck,2003,9620,6
70000000,"['Science Fiction', 'Horror', 'Action']",8078,1997-11-12,162000000,Alien: Resurrection,1997,8078,7
65000000,"['Comedy', 'Drama', 'Family', 'Science Fiction']",9849,1999-02-11,36850101,My Favorite Martian,1999,9849,1
70000000,"['Science Fiction', 'Animation', 'Family', 'Comedy', 'Adventure']",16866,2009-11-19,104945765,Planet 51,2009,16866,1
60000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",201,2002-12-13,67312826,Star Trek: Nemesis,2002,201,0
60000000,"['Action', 'Science Fiction', 'Fantasy', 'Thriller', 'Horror']",38321,2011-05-05,78309131,Priest,2011,38321,2
60000000,"['Horror', 'Science Fiction', 'Mystery']",8413,1997-08-15,26673242,Event Horizon,1997,8413,5
90000000,"['Horror', 'Science Fiction', 'Thriller']",10384,2000-01-14,14828081,Supernova,2000,10384,7
60000000,"['Comedy', 'Science Fiction', 'Adventure', 'Family']",11260,2008-07-08,50650079,Meet Dave,2008,11260,1
60000000,"['Action', 'Comedy', 'Thriller', 'Crime', 'Science Fiction']",8285,2008-12-25,39031337,The Spirit,2008,8285,0
83000000,"['Science Fiction', 'Comedy', 'Family', 'Romance']",889,2000-04-28,59468275,The Flintstones in Viva Rock Vegas,2000,889,0
60000000,"['Action', 'Adventure', 'Horror', 'Science Fiction']",35791,2010-09-09,300228084,Resident Evil: Afterlife,2010,35791,0
55000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",1924,1978-12-13,300218018,Superman,1978,1924,0
54000000,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",9327,1996-06-26,128769345,The Nutty Professor,1996,9327,0
50000000,"['Science Fiction', 'Action', 'Horror']",8077,1992-05-22,159773545,Alien³,1992,8077,1
50000000,"['Action', 'Drama', 'Science Fiction', 'Thriller']",12123,1996-08-02,60209334,Chain Reaction,1996,12123,0
62000000,"['Action', 'Science Fiction']",8202,2005-11-30,52304001,Æon Flux,2005,8202,0
57000000,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",14623,2004-07-23,28283637,Thunderbirds,2004,14623,0
54000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",8536,1980-12-04,190458706,Superman II,1980,8536,3
50200000,"['Science Fiction', 'Thriller', 'Romance']",38050,2011-03-03,127869379,The Adjustment Bureau,2011,38050,10
50000000,"['Thriller', 'Science Fiction', 'Mystery']",37686,2011-06-08,260095987,Super 8,2011,37686,0
50000000,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",10329,1995-06-09,152022101,Congo,1995,10329,0
50000000,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",13811,2009-03-19,155446362,Knowing,2009,13811,0
50000000,"['Action', 'Drama', 'Science Fiction', 'Thriller']",6950,1995-03-10,189859560,Outbreak,1995,6950,0
50000000,"['Adventure', 'Family', 'Fantasy', 'Science Fiction', 'Thriller', 'Action']",13836,2009-03-12,106303988,Race to Witch Mountain,2009,13836,0
50000000,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",46529,2011-02-18,144492830,I Am Number Four,2011,46529,1
45000000,"['Horror', 'Action', 'Science Fiction']",1577,2004-09-10,129394835,Resident Evil: Apocalypse,2004,1577,6
50000000,"['Adventure', 'Family', 'Science Fiction']",14199,2005-06-10,69425966,The Adventures of Sharkboy and Lavagirl,2005,14199,3
44000000,"['Action', 'Adventure', 'Romance', 'Science Fiction', 'Thriller']",72710,2013-03-22,63327201,The Host,2013,72710,1
50000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",10061,1996-08-09,42277365,Escape from L.A.,1996,10061,0
70000000,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",10386,1999-08-06,23159305,The Iron Giant,1999,10386,9
50000000,"['Action', 'Thriller', 'Science Fiction']",18501,2009-09-03,40828540,Gamer,2009,18501,13
60000000,"['Comedy', 'Drama', 'Romance', 'Science Fiction']",10416,2000-03-03,0,What Planet Are You From?,2000,10416,0
50000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",15268,2009-02-27,12764201,Street Fighter: The Legend of Chun-Li,2009,15268,0
49000000,"['Action', 'Science Fiction', 'Thriller']",10796,2001-11-02,72700000,The One,2001,10796,11
49000000,"['Crime', 'Action', 'Science Fiction']",198184,2015-03-04,104399548,Chappie,2015,198184,10
48000000,"['Drama', 'Science Fiction']",167,2001-10-22,50315140,K-PAX,2001,167,2
47000000,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",5393,2006-09-14,38085778,Happily N'Ever After,2006,5393,6
46000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",199,1996-11-21,150000000,Star Trek: First Contact,1996,199,0
45000000,"['Action', 'Science Fiction', 'Adventure', 'Comedy', 'Family']",88751,2008-07-10,101702060,Journey to the Center of the Earth,2008,88751,0
45000000,"['Comedy', 'Family', 'Science Fiction']",926,1999-12-23,90683916,Galaxy Quest,1999,926,2
50000000,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",7453,2005-01-15,104478416,The Hitchhiker's Guide to the Galaxy,2005,7453,0
45000000,"['Horror', 'Action', 'Science Fiction']",7737,2007-09-20,148412065,Resident Evil: Extinction,2007,7737,0
40000000,"['Action', 'Science Fiction', 'Adventure']",841,1984-12-14,30925690,Dune,1984,841,0
70000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",9381,2008-08-20,72108608,Babylon A.D.,2008,9381,3
45000000,"['Comedy', 'Fantasy', 'Science Fiction']",9304,1996-07-19,0,Multiplicity,1996,9304,0
45000000,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",20856,2009-07-31,57881056,Aliens in the Attic,2009,20856,4
45000000,"['Adventure', 'Action', 'Horror', 'Science Fiction']",9457,1998-01-30,11203026,Deep Rising,1998,9457,5
50000000,"['Fantasy', 'Action', 'Science Fiction', 'Thriller']",834,2006-01-12,111340801,Underworld: Evolution,2006,834,0
40000000,"['Drama', 'Science Fiction', 'Thriller']",228066,2015-11-10,34227298,Victor Frankenstein,2015,228066,18
40000000,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",165,1989-11-20,332000000,Back to the Future Part II,1989,165,0
40000000,"['Action', 'Science Fiction']",240832,2014-07-14,126546825,Lucy,2014,240832,10
38000000,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",12279,2003-07-25,197011982,Spy Kids 3-D: Game Over,2003,12279,0
40000000,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",196,1990-05-25,244527583,Back to the Future Part III,1990,196,0
40000000,"['Comedy', 'Adventure', 'Fantasy', 'Science Fiction', 'Action']",11551,1998-07-10,54682547,Small Soldiers,1998,11551,5
40000000,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Science Fiction', 'Thriller']",10336,1997-07-31,87840042,Spawn,1997,10336,1
40000000,"['Animation', 'Comedy', 'Adventure', 'Family', 'Science Fiction']",68179,2013-02-14,74597643,Escape from Planet Earth,2013,68179,0
40000000,"['Action', 'Science Fiction', 'Adventure', 'Thriller']",34851,2010-07-03,126248813,Predators,2010,34851,2
40000000,"['Fantasy', 'Action', 'Science Fiction', 'Thriller', 'Horror']",440,2007-12-25,41797066,Aliens vs Predator: Requiem,2007,440,4
40000000,"['Adventure', 'Comedy', 'Science Fiction']",39513,2011-02-14,97552050,Paul,2011,39513,3
